index_label,uri,timestamp,Laughter,ContinBellyLaugh,ContinLaughter,ContinCheering,ContinApplause,ContinExcitingMusic,ContinSnicker,entertaining
277,spotify:episode:49M677kKbSXIIeIWDucXUn,1740,8,0,12,25,12,140,21,0
278,spotify:episode:49M677kKbSXIIeIWDucXUn,1800,8,0,12,25,12,140,21,0
279,spotify:episode:49M677kKbSXIIeIWDucXUn,480,8,0,12,25,12,140,21,0
280,spotify:episode:51MMEziNNyZB4KZjVrKYM6,1920,6,0,17,4,6,152,20,0
281,spotify:episode:5CSPUQ42LLiWWRHpTbL2J6,2460,0,0,0,0,0,115,0,0
282,spotify:episode:0wFCxK3L96rqgN2Pn0E6i6,1740,1,0,166,7,82,137,105,0
283,spotify:episode:0wFCxK3L96rqgN2Pn0E6i6,1800,1,0,166,7,82,137,105,0
284,spotify:episode:0wFCxK3L96rqgN2Pn0E6i6,2280,1,0,166,7,82,137,105,0
285,spotify:episode:0wFCxK3L96rqgN2Pn0E6i6,540,1,0,166,7,82,137,105,0
286,spotify:episode:3qbueGkfTnibRV7EdTJV9S,660,1,0,70,14,32,63,28,0
287,spotify:episode:4QU7MuOghsqNFCOeOmgCGV,1800,9,0,10,3,28,66,8,0
288,spotify:episode:5S9Hb0CSu2LRs46vp5ASHR,360,0,0,17,19,18,492,3,0
289,spotify:episode:0G4YTHf04ZaA2w07bvMm1k,2160,18,0,80,12,76,140,61,0
290,spotify:episode:0dfDn8tM8c8VMAsOXkRKfj,600,25,0,30,3,7,43,29,0
291,spotify:episode:1B9lIDYV3ZBKdt4lgHRK7J,900,105,19,3089,2330,2710,3169,1632,1
292,spotify:episode:1B9lIDYV3ZBKdt4lgHRK7J,960,105,19,3089,2330,2710,3169,1632,1
293,spotify:episode:1EcXIOYL9fNZwsgkcqyiqC,1380,350,73,492,105,234,334,586,1
294,spotify:episode:1EcXIOYL9fNZwsgkcqyiqC,1440,350,73,492,105,234,334,586,1
295,spotify:episode:1HkDtZpy4qjGkm8uDTIYFU,3900,100,7,153,75,115,177,142,0
296,spotify:episode:1SumnU8JNVizJrLUqznPvH,3060,2,0,15,6,32,77,18,0
297,spotify:episode:1Ifnd71BOc2XCwQwoPpUo1,1620,10,0,274,147,205,815,145,0
298,spotify:episode:1YcYN2QvM6utsxCcG3kvb9,2040,1,0,0,0,0,47,0,0
299,spotify:episode:1YcYN2QvM6utsxCcG3kvb9,2100,1,0,0,0,0,47,0,0
